judul-jurnal,nama-jurnal,abstrak-jurnal,kategori
PENGARUH PENGGUNAAN INFORMATION GAIN UNTUK SELEKSI FITUR CITRA TANAH DALAM RANGKA MENILAI KESESUAIAN LAHAN PADA TANAMAN CENGKEH,Jp Teknik Informatika dd 2017," Cengkeh merupakan
komoditas perkebunan yang memiliki nilai ekonomis cukup tinggi sehingga perlu
penambahan lahan untuk meningkatkan produksinya. Penentuan lahan baru yang
tepat perlu mempertimbangkan banyak faktor, salah satunya adalah karakteristik
sifat tanah itu sendiri. Kesesuaian lahan untuk tanaman cengkeh dapat dibedakan
secara visual menggunakan citra berdasarkan fitur warna dan tekstur. Parameter
yang digunakan dari hasil ekstraksi kedua fitur tersebut adalah nilai rata-rata
dari (red, green, blue) serta (mean, variance, kurtosis, skewness, entropy).
Penggunaan seluruh parameter tersebut tidak berkolerasi positif dengan hasil
akurasi penilaian kesesuaian lahan untuk tanaman cengkeh. Oleh Karena itu perlu
dilakukan proses seleksi fitur untuk mendapatkan parameter yang memiliki
pengaruh dalam penentuan hasil pengenalan lahan. Pada penelitian ini dilakukan
analisis pengaruh penggunaan information gain untuk seleksi fitur citra tanah
dalam rangka menilai kesesuaian lahan pada tanaman cengkeh. Jumlah data yang
digunakan pada penelitian ini adalah 50 citra yang terbagi menjadi dua citra
tanah  yang sesuai dan tidak sesuai untuk
tanaman cengkeh. Tahapan penelitian ini diawali dengan akuisisi citra, pra
pengolahan terhadap citra, ekstraksi fitur, seleksi fitur, clustering
dilanjutkan dengan analisis. Hasil analisis menunjukkan penggunaan fitur hasil
dari proses seleksi fitur menggunakan information gain terbukti mampu
meningkatkan nilai akurasi. Hasil pengujian menunjukkan tingkat akurasi
penggunaan fitur tanpa proses seleksi hanya 50%, sedangkan fitur terpilih dari
hasil seleksi menggunakan information gain dengan nilai threshold 0,7 naik
menjadi 88%.",pengolahan citra
ANALISIS CITRA PERMUKAAN THERMOCHROMIC LIQUID CRYSTAL BERDASARKAN NILAI STATISTIK HUE,Jp Fisika dd 2014," Tujuan dari
penelitian ini adalah untuk mengamati perbedaan citra pada permukaan
Thermocromic Liquid Crystal (TLC) R25C5W akibat perubahan temperatur. Metode
yang digunakan untuk analisis adalah pengolahan citra berbasis morfologi
matematika menggunakan perangkat lunak Matlab2013a. Citra asli yang diperoleh
dalam bentuk RGB dikonversi menjadi HSV (hue, saturation, value), dengan
mengambil komponen hue saja. Proses utama yang digunakan adalah opening dengan
struktur elemen (SE) line. Berdasarkan analisis visual pada citra akhir hasil
pengolahan citra, tampak bahwa terdapat perbedaan setiap citra untuk berbagai temperatur
berdasarkan tingkat kecerahannya. Secara kuantitatif perbedaan tersebut dapat
dilihat dari nilai statistiknya. Nilai max dan mean citra hue semakin meningkat
seiring dengan meningkatnya temperatur.",pengolahan citra
IDENTIFIKASI SEBARAN DAN TINGKAT KESUBURAN MANGROVE MELALUI PEMANTAUAN INDEKS VEGETASI DARI SATELIT LANDSAT 7.0 ETM+ MENGGUNAKAN FUZZY LOGIC (Studi Kasus Pantai Pesisir Timur Surabaya / Pamurbaya),Jp Fisika dd 2013," Mangrove adalah
tanaman pepohonan hidup diantara laut dan daratan, yang pertumbuhannya
dipengaruhi oleh pasang-surut. Mangrove dapat dimanfaatkan sebagai biomassa dan
juga memiliki aspek-aspek ekologis. Berkaitan dengan perkembangan teknologi
yang semakin pesat, membuat manusia melakukan model pendekatan untuk melakukan
komputasi dengan meniru akal manusia 
yang  salah  satunya 
yaitu  sistem  Fuzzy Logic. 
Fuzzy Logic  merupakan  pengambilan keputusan yang sesuai untuk
konsep tidak pasti.Dengan memanfaatkan  
Citra Landsat 7.0 ETM+ dapat mempermudah mendapatkan informasi tanpa
menyentuh objek penelitian. Penelitian ini bertujuan untuk mengetahui luas dan
sebaran serta tingkat kesuburan mangrove di wilayah Pamurbaya pada tahun 2002
bulan September.",pengolahan citra
ANALISA PERBANDINGAN ADAPTIF MEDIAN FILTER DAN MEDIAN FILTER DALAM REDUKSI NOISE SALT & PEPPER,Jp Teknik Komputer dd 2016," Suatu data atau
informasi disajikan tidak hanya berupa data teks tetapi juga dapat berupa
audio, video, dan gambar. Pada zaman sekarang informasi sangatlah penting dan
diperlukan, begitu juga informasi yang terdapat pada citra. Citra (image) atau
istilah lain untuk gambar merupakan salah satu komponen multimedia yang
berperan penting sebagai bentuk informasi visual. Dibandingkan dengan data
teks, citra memiliki banyak informasi. Namun terkadang citra juga dapat
mengalami penurunan yaitu degradasi atau penurunan kualitas yang disebabkan
oleh derau / noise, warna terlalu kontras, kabur, dan lain-lain. Ada beberapa
jenis noise dalam pengolahan citra salah satunya yaitu Salt & Pepper noise.
Noise Salt & Pepper berbentuk seperti bintik hitam dan putih pada citra.
Untuk mengurangi noise ini dibutuhkan suatu metode, salah satunya yaitu median
filter. Metode yang digunakan pada penelitian ini adalah median filter dan
adaptif median filter. Perbedaan mendasar antara kedua metode ini yaitu pada
besarnya windows pada adaptif median filter adalah variabel. Dari hasil
penelitian, citra yang menggunakan metode adaptif median filter lebih baik
daripada median filter. Dari perhitungan Peak Signal to Noise Ratio (PSNR)
citra yang menggunakan adaptif median filter mendapatkan 29,2495 dB sedangkan
median filter mendapatkan 23,8181 dB.",pengolahan citra
IMPLEMENTASI METODE HISTOGRAM EQUALIZATION UNTUK MENINGKATKAN KUALITAS CITRA DIGITAL,Jp Fisika dd 2011," Radiografi dapat
digunakan untuk membantu mendiagnosis penyakit dalam bidang medis. Umumnya
citra radiograf masih tampak kabur sehingga memerlukan pengolahan untuk
menghilangkan atau mengurangi kekaburan tersebut. Tujuan penelitian ini adalah
mendesain perangkat lunak untuk meningkatkan kualitas citra digital foto
Roentgen yaitu dengan meningkatkan kontras citra tersebut. Salah satu metode
untuk meningkatkan kontras citra digital adalah dengan menggunakan metode
histogram equalization. Metoda tersebut membuat tingkat keabuan citra tersebar
merata pada semua tingkat keabuan. Hasil penelitian menunjukkan bahwa metoda
histogram equalization dapat digunakan untuk meningkatkan kontras citra.Â  Hal ini dapat langsung dilihat pada layar
monitor.",pengolahan citra
Sistem Deteksi Penyakit Pengeroposan Tulang Dengan Metode Jaringan Syaraf Tiruan Backpropagation Dan Representasi Ciri Dalam Ruang Eigen,Jp Teknik Informatika dd 2008," Ada berbagai cara
untuk mendeteksi penyakit osteoporosis (pengeroposan tulang), salah satunya
adalah dengan melihat gambaran osteoporosis melalui foto rontgen atau X-ray.
Kemudian, dianalisis secara manual oleh pakar Rheumatologi. Artikel menunjukkan
pengembangan suatu sistem yang dapat mendeteksi penyakit osteoporosis pada
manusia dengan menerapkan prinsip Rheumatologi. Daerah utama yang
diidentifikasi adalah antara pergelangan tangan hingga jari tangan. Sistem
kerja di dalam perangkat lunak ini meliputi 3 pemrosesan penting, yaitu proses
pengolahan citra dasar, proses reduksi piksel, dan proses jaringan syaraf
tiruan. Awalnya, citra X-ray digital (30 x 30 piksel) dilakukan pengkonversian warna
dari RGB ke grayscale. Kemudian, di-thresholding dan diambil nilai gray
level-nya. Nilai-nilai tersebut selanjutnya dinormalisasi ke interval [0.1,
0.9], lalu direduksi menggunakan metode PCA (Principal Component Analysis).
Hasilnya dijadikan input pada proses jaringan syaraf tiruan Backpropagation
untuk mengetahui analisis penyakit dari X-ray yang dimasukkan. Disimpulkan dari
hasil pengujian dengan learning rate sebesar 0.7 dan momentum sebesar 0.4,
sistem ini memiliki tingkat keberhasilan 73 hingga 100 persen untuk uji data
non-learning, dan 100 persen untuk data learning.",pengolahan citra
APLIKASI PENGOLAHAN CITRA UNTUK IDENTIFIKASI KEMATANGAN MENTIMUN BERDASARKAN TEKSTUR KULIT BUAH MENGGUNAKAN METODE EKSTRAKSI CIRI STATISTIK,Jp Teknik Informatika dd 2015," Mentimun (Cucumis
sativus L) merupakan buah yang dapat dikonsumsi dan dapat diolah lebih lanjut
sebagai bahan baku pada industri kecantikan, dan memiliki pangsa pasar yang
luas mulai dari pasar tradisional hingga pasar modern. Adanya kemiripan tekstur
kulit mentimun antara yang matang dengan yang belum matang mengakibatkan orang
kesulitan dalam mengidentifikasi mentimun matang dari segi ciri tekstur kulit
buah dan penilaian manusia yang bersifat subyektif terhadap tingkat kematangan
buah mentimun menyebabkan penilaian tingkat kematangan mentimun berbeda dari
satu penilai dengan penilai yang lainnya. Dari permasalahan tersebut, sehingga
dilakukan penelitian untuk mendeteksi kematangan mentimun berdasarkan tekstur
kulit buah. Tujuan dari penelitian ini adalah menerapkan metode statistik
dengan parameter ciri yaitu Mean (μ), Variance (σ^2), Skewness (α_(3 )),
Kurtosis (α_(4 )), dan Entropy (H) sebagai metode untuk mengenali kematangan
mentimun dari segi tekstur kulit buah dan untuk mengetahui nilai akurasi
setelah sistem diuji. Subyek penelitannya adalah membangun aplikasi pengolahan
citra untuk mendeteksi ukuran buah mentimun matang secara statistik dari segi
tekstur kulit buah. Data dalam penelitian ini menggunakan citra buah mentimun
yang diambil dengan kamera kemudian dilakukan pemotongan ukuran  (cropping) menjadi 512 x 512 pixels dan
penggantian format citra menjadi *.bmp. Metode pengumpulan data yang digunakan
adalah metode studi literatur dengan menggunakan data-data dari buku, e-book,
penelitian terdahulu, literatur dari internet, metode observasi dengan
mengambil dan mengamati citra buah mentimun, metode dokumentasi dengan
pengumpulan data secara langsung, dan wawancara terhadap petani dan penjual
buah mentimun untuk memastikan data yang diperoleh mengenai informasi buah
mentimun sesuai dengan fakta yang ada. Berdasarkan hasil pengujian dengan
menggunakan 20 sampel yang terdiri dari 10 citra mentimun matang dan 10 citra
mentimun belum matang menunjukkan bahwa hasil untuk   pengujian mentimun matang mencapai 70%,
sedangkan untuk mentimun belum matang mencapai 80%. Secara keseluruhan tingkat
keberhasilan aplikasi pengolahan citra untuk identifikasi kematangan mentimun berdasarkan
tekstur kulit buah dengan metode ekstraksi ciri statistik yaitu sebesar 75%.",pengolahan citra
Analisis dan Perancangan Perangkat Lunak Kompresi Citra Menggunakan Algoritma Fast Fourier Transform (FFT),Jp Teknik Komputer dd 2012," Kecepatan pengiriman
informasi dalam bentuk perpaduan data teks, audio maupun citra secara nyata
merupakan aspek penting dalam pertukaran informasi. Kecepatan pengiriman ini
sangat bergantung kepada ukuran dari informasi tersebut. Pada umumnya informasi
yang berupa citra akan membuat file menjadi lebih besar sehingga mempengaruhi
kecepatan proses pengiriman informasi. Salah satu solusi untuk masalah di atas
adalah dengan melakukan kompresi data citra sebelum ditransmisikan. Kompresi
data adalah mengurangi ukuran file atau meminimalkan kebutuhan memori untuk
merepresentasikan sebuah file digital. Pada penelitian ini dilakukan kompresi
file citra dengan teknik lossy menghasilkan file citra hasil kompresi lebih
kecil dari file semula karena adanya data yang dihilangkan. Data yang
dihilangkan tersebut tidak akan terlihat oleh kasat mata manusia secara
kualitas. Teknik kompresi yang tepat untuk keperluan diatas adalah transformasi
citra, dimana yang digunakan adalah Tranformasi Fast Fourier. Hasil kompresi
dengan perangkat lunak yang dibangun menunjukkan ukuran file citra yang
dihasilkan berkurang rata-rata untuk format BMP sebesar 87,02 % dan format JPG
sebesar  41,11 %.",pengolahan citra
PENERAPAN PENILAIAN KEKASARAN PERMUKAAN (SURFACE ROUGHNESS ASSESSMENT) BERBASIS VISI PADA PROSES PEMBUBUTAN BAJA S45C,Jp Teknik Mesin dd 2013," Kekasaran permukaan
sebuah benda kerja memegang peranan penting terhadap kualitas suatu produk
dalam proses pemesinan. Kekasaran permukaan diukur secara langsung menggunakan
alat pengukur kekasaran permukaan. Cara lain adalah dengan pengukuran secara
tidak langsung. Pada penelitian ini kekasaran permukaan diukur secara tidak
langsung menggunakan teknik pengolahan citra dijital yang diaplikasikan pada
proses pemesinan. Benda kerja (material baja S45C) dibubut menggunakan pahat
jenis HSS dilakukan dengan memvariasikan beberapa kondisi pemotongan. Kecepatan
potong (ν) yang digunakan adalah 53,38 m/menit, 78,50 m/menit, dan 119,32
m/menit. Pemakanan (f) yaitu 0,1 mm/rev, 0,15 mm/rev dan 0,25 mm/rev. Sedangkan
kedalaman potong ditetapkan konstan yaitu 0,5 mm. Untuk melihat pengaruh nose
radius (rε) terhadap kekasaran permukaan maka digunakan pahat yang mempunyai
nose radius 0,4 mm dan 0,8 mm. Setelah selesai pemotongan   akan dilakukan pengukuran kekasaran
permukaan menggunakan surface tester. Kemudian dilanjutkan dengan pengambilan
citra permukaan benda kerja menggunakan kamera dijital biasa. Citra ini
kemudian diolah dan dianalisis profil intensitasnya dengan menggunakan
perangkat lunak MATLAB 7.0. Dari pengukuran kekasaran permukaan menggunakan
surface tester dan analisis citra dijital diperoleh perbandingan kekasaran
permukaan beberapa spesimen.  Selisih
kekasaran permukaan hasil pengukuran dan analisis citra di antara 0,0018 –
0,0136 µm (sangat kecil). Kekasaran permukaan spesimen 3 (pada v=53,38
m/menit;  f=0,1 mm/rev; rε=0,4 mm) hasil
pengukuran adalah 3,22 (µm) sedangkan hasil analisis citra adalah 3,2336
(µm).  Pada spesimen dengan nomor citra 6
(v=53,38 m/menit;  f=0,1 mm/rev; rε=0,8
mm) kekasaran permukaan yang  diperoleh
dari pengukuran adalah 2,50 (µm) dan hasil analisis citra adalah 2,5044 (µm).
Pada spesimen dengan nomor citra 13 (v=119,32 m/menit;  f=0,25 mm/rev; rε=0,4 mm) kekasaran permukaan
yang  diperoleh dari pengukuran adalah
2,15 (µm) dan nilai kekasaran permukaan yang diperoleh dari hasil analisis
citra adalah 2,1518 (µm). Spesimen dengan nomor citra 15 (v=119,32 m/menit;
f=0,1 mm/rev; rε=0,4 mm) nilai kekasaran permukaan pengukuran adalah 2,86 (µm)
dan nilai kekasaran permukaan yang diperoleh dari hasil analisis citra adalah
2,8524 (µm).",pengolahan citra
Rancang Bangun Sistem Lokasi Parkir Menggunakan Dua Kamera Berbasis Fuzzy Logic,Jp Teknik Komputer dd 2014," Kebutuhan akan
tempat parkir saat ini tidak bisa dipungkiri lagi, apalagi pada tempat-tempat
yang ramai di kunjungi. Keadaan seperti ini membutuhkan pengelolaan yang baik
agar dapat mengefisienkan waktu dan keamanan. Dengan demikian dilakukan suatu
penelitian menggunakan pengolahan citra digital berbasis fuzzy logic yang menggunakan
dua kamera. Pengolahan citra digital ini bertujuan untuk memantau dan
menentukan lokasi parkir yang kosong dengan input berupa citra tempat parkir
yang di ambil menggunakan kamera webcam kemudian di masukkankedalam sebuah
bahasa pemrograman GUI Matlab dimana citra tempat parkir yang kosong menjadi
citra refrensi yang nanti akan diolah dengan pengolahan citra seperti cropping,
thresholding. Hasil pengolahan citra ini dianalisa dengan metode bwarea
dibandingkan dan dihitung selisihnya dengan citra-citra yang akan
diidentifikasi. Outputnya berupa informasi tentang jumlah lokasi parkir yang
kosong, jumlah kendaraan yang terparkir dan daerah parkir yang tersedia. Sangatlah
penting memposisikan kamera dengan tepat untuk pembagian area menggunakan
Matlab sebagai pengolahan citra digital dalam menentukan lokasi parkir yang
kosong. Posisi kamera pengambil gambar tidak boleh berbeda jauh dengan posisi
dari kamera refrensi.",pengolahan citra
Deteksi dan Pengukuran Spektra dalam Analisis Spektrografi Emisi dengan Pengolahan Citra,Jp Teknik Listrik dan Mekatronika dd 2014," Analisis kualitatif
dan kuantitatif pada detektor spektrografi emisi dilakukan untuk uji takmurnian
dalam bahan bakar nuklir. Saat ini perangkat yang digunakan untuk analisis
spektra pada detektor dilakukan dengan pengukuran manual berbasis densitometer.
Penelitian ini difokuskan pada penerapan metode untuk menganalisis unsur boron
dan kadmium dalam uranium oksida menggunakan pengolahan citra digital. Metode
ini diawali dengan akuisisi citra detektor spektrografi emisi ke dalam komputer
menggunakan image scanner, selanjutnya piksel citra yang diidentifikasi sebagai
unsur boron dan kadmium didistribusikan nilai intensitas pikselnya dalam bentuk
kurva. Analisis kualitatif dilakukan dengan menentukan keberadaan kurva pada
area yang diprediksi sebanding dengan spektra garis unsur yang dianalisis.
Analisis kuantitatif dilakukan dengan mengukur ketinggian puncak kurva. Hasil
pengukuran ketinggian kurva diamati untuk masing-masing unsur dan dibuat kurva
kalibrasi. Masing-masing kurva standar dilakukan uji signifikansi dan
linieritasnya, sedangkan hasilnya menunjukkan bahwa semua kurva standar dapat
digunakan untuk menghitung konsentrasi sampel uji. Hasil analisis dan pengujian
menunjukkan bahwa metode pengolahan citra dapat dipergunakan untuk
mengidentifikasi dan menganalisis unsur. Nilai konsentrasi unsur dari analisis
pengolahan citra tidak berbeda dengan hasil analisis dari densitometer pada
taraf signifikansi secara statistik sebesar 5%.",pengolahan citra
Klasifikasi Penyakit Diabetic Retinopathy menggunakan Metode Learning Vector Quantization (LVQ),Jp Teknik Listrik dan Mekatronika dd 2017," Retinopati diabetes
adalah salah satu komplikasi penyakit diabetes. Komplikasi tersebut berupa
kerusakan pada bagian retina mata.  Tingginya
kadar glukosa dalam darah adalah penyebab pembuluh darah kapiler kecil menjadi
pecah dan dapat menyebabkan kebutaan. Gejala yang ditunjukkan oleh penderita
Diabetic Retinopaythy (DR) antara lain microaneurysms, hemorrhages, hard
exudate, soft exudates dan neovascularization. Gejala tersebut pada suatu
intensitas tertentu dapat menjadi indikator fase (tingkatan keparahan)
retinopati diabetes penderita. Penelitian ini dilakukan untuk mengklasifikasi
penyakit retinopati diabetik dengan citra fundus retinoskopi melalui metode
Kecerdasan Buatan, yaitu Learning Vector Quantization. Melalui tahapan proses
pengolahan citra, mengubah intensitas citra, menghilangkan Diskus Optikus,
kemudian melalui proses ekstraksi fitur citra yakni fitur citra pembuluh darah.
Ekstraksi fitur warna citra menggunakan intensitas keabuan pada citra kemudian
diubah menjadi citra biner sehingga area fitur pembuluh darah lebih menonjol
daripada fitur lainnya. Pada tahapan akhir dilakukan proses klasifikasi citra
dengan menggunakan metode Learning Vector Quantization. Kemudian untuk
perhitungan kinerja program, dilakukan pencatatan Mean Square Error (MSE),
keakurasian,  sensitifitas, dan
spesifisitas yang terdapat dalam tabel Confusion Matrix dan kurva Receiver
Operating Characteristic (ROC). Hasil pembelajaran kecerdasan buatan Learning
Vector Quantization (LVQ) dengan ekstraksi fitur pembuluh darah mempunyai
akurasi pelatihan 90%, dan akurasi pengujian 43.75%.",pengolahan citra
DETEKSI UJUNG BIJI GINKO MENGGUNAKAN PENGOLAHAN CITRA BERBASIS ANALISIS MORFOLOGI,Jp Pertanian dd 2013," Biji ginkgo harus
dibuka untuk diambil dan dimanfaatkan isinya yang lunak. Untuk membuka
pelindung daging biji yang keras, orientasi biji harus diketahui, karena biji
lebih mudah terbuka pada ujungnya, sedangkan bagian pangkalnya cenderung tetap
menyatu. Bila orientasi tidak tepat, maka akan dibutuhkan gaya tekan yang jauh
lebih besar untuk membukanya, sehingga seringkali daging biji ikut rusak
terkena gaya tekan yang berlebihan. Program pengolahan citra dibuat dan
digunakan untuk melakukan deteksi bagian ujung dari biji ginkgo. Hasil deteksi
bagian ujung biji menggunakan algoritma berdasarkan analisis morfologi
masing-masing 100% untuk Kinbei, 85% untuk Kyujyu, dan 65% untuk Tokuro.
Operasi morfologi dilakukan untuk memperbaiki bentuk biji pada citra biner
sehingga kemampuan deteksi ujung biji dapat ditingkatkan. Hasil deteksi bagian
ujung biji setelah operasi perbaikan bentuk dilakukan masing-masing meningkat
menjadi 100% untuk Kyujyu dan 85% untuk Tokuro, sedangkan Kinbei tidak
terpengaruh, tetap 100%.",pengolahan citra
SEGMENTASI MAMOGRAFI KANKER PAYUDARA DENGAN ALGORITMA EXPECTATION MAXIMIZATION SEGMENTATION (EM-SEGMENTATION),Jp Teknik Industri dd 2014," Kanker merupakan
penyebab utama kematian pada manusia. Salah satu kanker yang menyebabkan
kematian yaitu kanker payudara. Kanker payudara adalah kanker yang terjadi pada
payudara karena adanya pertumbuhan yang tidak terkendali dari sel-sel kelenjar
dan salurannya, sehingga merusak organ atau jaringan sekitar dan melakukan
penyebaran kebagian tubuh yang lain. Untuk membantu para Radiologi dan Dokter
ahli Radiolog dalam mendeteksi kanker, penderita bisa melakukan Mamografi.
Mamografi merupakan pemeriksaan dengan menggunakan sinar-X yang memberikan
gambaran tentang jaringan lunak pada payudara. Dalam bidang kedokteran.
Radiolog sering mengalami kesulitan dalam mengamati citra mentah hasil
Mamografi, karena citra yang dihasilkan mempunyai derajat keabuan sehingga sulit
melihat jelas area pengenalan bagian kanker. Untuk mengatasi hal tersebut perlu
dilakukan operasi pengolahan citra. Salah satu proses pengolahan citra yaitu
segmentasi. Segmentasi Mamografi pada citra tersebut merupakan proses
memperjelas dan mempertajam ciri atau fitur citra sehingga tersegmentasi dengan
pembagian Cluster. Segmentasi Mamografi pada citra ini menggunakan Algoritma
Expectation Maximization Segmentation. Setelah dilakukan pengujian dengan
jumlah Cluster dan berdasarkan pandangan Dokter, segmentasi citra ini
menghasilkan citra yang tersegmentasi dalam beberapa Cluster. Diantara Cluster
tersebut merupakan pengenalan area letak kanker. Berdasarkan pengujian Dokter
Radiologi, hasil segmentasi yang baik yaitu pada Cluster 5, dengan warna merah
tua area kanker dan warna orange penyebarannya.",pengolahan citra
Deteksi Bentuk Objek Bawah Tanah Menggunakan Pengolahan Citra B-Scan pada Ground Penetrating Radar (GPR),Jp Teknik Listrik dan Mekatronika dd 2017," Ground Penetrating
Radar (GPR) adalah salah satu jenis radar yang digunakan untuk menyelidiki
kondisi di bawah permukaan tanah tanpa harus menggali dan merusak tanah. Sistem
GPR terdiri atas pengirim (transmitter), yaitu antena yang terhubung ke
generator sinyal dan bagian penerima (receiver), yaitu antena yang terhubung ke
LNA dan ADC yang kemudian terhubung ke unit pengolahan data hasil survey serta
display sebagai tampilan output-nya dan post processing untuk alat bantu mendapatkan
informasi mengenai suatu objek.",pengolahan citra
ENHANCEMENT OBYEK PADA CITRA DIGITAL DENGAN METODE PENGGESERAN KURVA HISTOGRAM,Jp Teknik Listrik dan Mekatronika dd 2013," Peningkatan
kebutuhan terhadap penggunaan citra digital yang demikian pesat perlu didukung
oleh suatu pengolahan citra yang dapat meningkatkan mutu citra. Salah satu cara
untuk meningkatkan mutu citra tersebut adalah memperjelas bagian obyek pada
citra. Tugas akhir ini bertujuan untuk membuat sistem untuk memperjelas obyek
dengan menggunakan metode penggeseran kurva histogram. Penggeseran kurva
histogram citra dilakukan menggunakan algoritma peregangan kontras yang bekerja
pada ranah kontras citra lokal. System akan mencari kontras pada citra global
dan citra lokal, selanjutnya sistem akan membandingkan kontras citra lokal
terhadap citra global yang digunakan sebagai parameter perenggangan dan
pemampatan kontras pada citra lokal. Dari hasil pengujian sistem dapat dilihat
perbedaan intensitas kontras citra hasil pemrosesan sistem dengan citra sebelum
diproses proses oleh sistem.",pengolahan citra
Mouse Virtual Dengan Objek Tracking Jari Tangan Manusia,Jp Teknik Komputer dd 2012," Mouse virtual dengan
object tracking jari tangan manusia adalah sebuah sistem yang digunakan untuk
melacak pergerakan objek yang mana objek tersebut adalah jari tangan manusia.
Pelacakan jari tangan manusia ini akan menghasilkan koordinat yang ditransformasikan
ke dalam pergerakkan cursor sehingga arah gerakan cursor akan sesuai dengan
arah gerakan jari tangan. Transformasi koordinat ini dilakukan dengan proses
sensorvisual yang ditangkap oleh perangkat lunak pengolahan citra dan
menghasilkan informasi yang kemudian diproses pada sistem lain. Informasi yang
dihasilkan adalah berupa posisi objek,kecepatan objek, serta arah pergerakan
objek. Metode perancangan sistem aplikasi ini terdiri dari pengolahan citra
hasil pendeteksian titik yang ditangkap dengan webcam serta dengan menempelkan
LED infrared agar dapat dilacak oleh komputer. Webcam dimodifikasi agar dapat
bekerja pada spektrum infra merah dengan tujuan untuk memudahkan mendeteksi dan
melacak koordinat jari tangan. Untuk mendapatkan citra yang jelas, posisi
kamera harus sesuaidengan jarak kamera dan jari. Titik koordinat jari diperoleh
dengan melakukan perhitungan kalibrasi. Hasil percobaan mouse virtual dengan
objek tracking dengan jari tangan manusiaberhasil dengan hasil akurasi 99%
akurat menggerakan mouse virtual dengan jari tangan.",pengolahan citra
"DETEKSI KAWASAN HUTAN KOTA PADA CITRA RUPA BUMI KOTA KUPANG MENGGUNAKAN KOMPONEN WARNA RGB, HSV, YIQ DAN ALGORITMA PARALLELPIPED",Jp Teknik Komputer dd 2014," Pengolahan citra
digital pada masa sekarang mempunyai cakupan aplikasi yang sangat luas dalam
berbagai bidang kehidupan, antara lain penginderaan jauh. Salah satu penerapan
penginderaan jauh yakni untuk mendeteksi kawasan hutan kota pada suatu wilayah
tertentu dengan menggunakan algoritma parallelpiped pada komponen warna RGB, YIQ
dan HSV. Masukan yang diberikan pada sistem adalah citra peta rupa bumi yang
didapat dari aplikasi google earth. Pada proses deteksi dilakukan pengecekan
piksel pada citra yang dideteksi apakah masuk dalam kategori hutan atau tidak.
Setiap piksel yang terdeteksi sebagai area hutan kota kemudian ditandai. Pada
citra hasil deteksi dilakukan proses penandaan komponen terhubung dan penapisan
luas. Pengujian dilakukan pada citra yang tidak mengalami proses peregangan
kontras dan citra yang mengalami proses peregangan kontras, dengan nilai p=3
dan p=4. Berdasarkan pengujian didapatkan hasil bahwa komponen warna YIQ
menghasilkan tingkat kesesuaian yang baik yaitu sebesar 87,4753527 % (untuk
citra yang tidak mengalami peregangan kontras) dan 81,89477178 % (untuk citra
yang mengalami peregangan kontras) dengan nilai p = 3.",pengolahan citra
Pengenalan Retina Menggunakan Alihragam Gelombang Singkat dengan Pengukuran Jarak Euclidean Ternormalisasi,Jp Teknik Informatika dd 2014," Identifikasi retina
merupakan metode identifikasi biometric dengan tingkat kesalahan rendah karena
pola-pola unik pembuluh darah retina di bagian belakang retina. Pola- pola ini
dapat digunakan sebagai data latih sistem pengenalan untuk kemudian digunakan
sebagai pembanding pada saat identifikasi dilakukan. Penelitian ini bertujuan
untuk mengenali citra retina mata manusia, baik bagian kiri maupun bagian
kanan, menggunakan teknik pengolahan citra dan pengukuran jarak Euclidean Ternormalisasi.
Selama ini, penelitian mengenai sistem biometrik, khususnya dengan objek retina
mata, dilakukan pada pemilik mata yang berasal dari pemilik mata dengan beragam
latar belakang, seperti pada basis data Messidor. Pada penelitian ini di buat
sistem yang dapat mengenali citra retina menggunakan alihragam gelombang
singkat Haar dengan pengukuran jarak Euclidean ternormalisasi. Citra retina
akan dilakukan proses prapengolahan awal dari mengubah citra asli menjadi citra
keabuan, yang kemudian dilakukan ekstraksi ciri menggunakan wavelet Haar untuk
mendapatkan energi yang akan digunakan untuk normalisasi jarak Euclidean,
sehingga pada proses pengenalan melalui nilai Euclidean yang dibandingkan.
Pengujian dilakukan menggunakan citra retina mata yang diambil dari basisdata
Messidor sebanyak 100 dari 300 citra yang diambil secara acak yang kemudian
disimpan dalam basisdata, yakni basisdata 1 sebanyak 100 citra tersimpan, basisdata
2 sebanyak 100 citra tersimpan, dan basisdata 3 sebanyak 100 citra yang
tersimpan. Dari basisdata terbaik harus dilakukan pengujian aras dekomposisi
sebanyak 6 aras. Dari hasil uji coba hasil identifikasi memiliki tingkat
akurasi pengenalan hingga 98%. Yang paling besar tingkat pengenalannya adalah
aras 1 yaitu sebesar 98%. Disusul pemakaian aras 2 sebesar 80%, aras 3 sebesar 59%,
aras 4 sebesar 47%, aras 5 sebesar 45% dan terakhir yang paling rendah adalah
aras 6 yaitu sebesar 37%.",pengolahan citra
