judul,abstrak,kategori
PENGEMBANGAN MEDIA PEMBELAJARAN E-LEARNING MODEL BLENDED LEARNING BERBANTUAN SCHOOLOGY PADA MATA PELAJARAN SISTEM KOMPUTER KELAS X MULTIMEDIA DI SMK NEGERI 1 SAWAN,"penelitian ini bertujuan untuk mengembangkan dan implementasi media pembelajaran e-learning pada mata pelajaran Sistem Komputer di SMK Negeri 1 Sawan. Jenis penelitian ini adalah Reserch and Development (R&D) dengan model pengembangan ADDIE.Subjek penelitian ini adalah peserta didik kelas X multimedia di SMK Negeri 1 Sawan dengan jumlah responden 15 orang dan satu orang guru pengampu mata pelajaran sistem komputer. Pengambilan data pada penelitian ini menggunakan beberapa instrumen yaitu lembar validasi ahli, angket uji coba perorangan, angket uji coba kelompok kecil, dan angket uji coba lapangan, serta angket respon guru dan peserta didik. Hasil media untuk uji kevalidan media e-learning diperoleh dari hasil perhitungan rata-rata uji ahli isi, ahli desain dan ahli media media pembelajaran memperoleh rata-rata skor sebesar 1,00 dengan kriteria sangat valid. Hasil perolehan nilai N-Gain untuk mengetahui tingkat efektivitas media e-learning diperolah nilai N-Gain untuk mengetahui tingkat efektivitas media e-learning diperoleh skor sebesar 0,76 dengan kriteria efektif , untuk respon guru memperoleh rata-rata 48 dan utuk respon peserta didik memperoleh rata-rata 70,07 dengan kriteria sangat praktis. Dari hasil tersebut dapat disimpulkan pengembangan media e-learning telah memenuhi kriteria untuk kualitas produk yaitu kevalidan, keefektifan, dan kepraktisan. Kata Kunci: media e-learning, model pembelajaran blended learning, model ADDIE",multimedia
peningkatan hasil belajar siswa melalui media pembelajaran jaringan komputer berbasis multimedia,"Penelitian ini bertujuan untuk mengetahui peningkatan hasil belajar siswa pada mata pelajaran Jaringan Dasar Komputer melalui media pembelajaran jaringan komputer berbasis multimedia pada kelas X TKJ. Penelitian ini merupakan penelitian eksperimen objek dalam penelitian ini adalah SMK Negeri 4 Gorontalo. Teknik pengumpulan data dalam penelitian ini menggunakan wawancara, observasi, tes belajar dan dokumentasi. Teknik analisis data yang digunakan adalah analisis deskriptif kuantitatif. Hasil penelitian menunjukan bahwa penerapan media pembelajaran pada mata pelajaran Jaringan Dasar Komputer dapat meningkatkan hasil belajar siswa kelas X TKJ di SMK Negeri 4 Gorontalo. Hal tersebut dapat dilihat dari hasil tiap tes belajar siswa.. pada hasil pretest siswa rata-rata persentase yaitu 52,8%, sedangkan pada hasil posttes siswa meningkat menjadi 82%. Kata Kunci : Hasil Belajar, Media Pembelajaran, Jaringan Komputer, Multimedia",multimedia
Upaya Peningkatan Literasi Sains Siswa melalui Media Pembelajaran IPA Berbasis Komputer,"Penulisan artikel ini bertujuan untuk memaparkan hasil analisis berupa kajian literatur pada hasil penelitian mengenai media pembelajaran IPA berbasis komputer yang digunakan untuk menigkatkan literasi sains siswa. Literatur review dilakukan pada 10 artikel yang dipublikasikan pada berbagai jurnal dari tahun 2015 sampai 2020. Literatur review dilakukan dengan 4 langkah yaitu melakukan pencarian dan penyeleksian artikel yang berkaitan dengan topik yang sudah ditentukan, melakukan analisis dan sintesis literatur, dan melakukan organisasi tulisan. Hasil kajian pustaka dan analisisnya menunjukkan bahwa: 1) bentuk media pembelajaran berbasis komputer yang digunakan dalam pembelajaran IPA untuk meningkatkan literasi sains terdiri dari berbagai bentuk, yaitu multimedia pembelajaran, interaktif E-book, E-modul, video animasi, dan media berbasis android. 2) Penggunaan media berbasis komputer pada pembelajaran IPA memberikan dampak pada peningkatan kemampuan literasi sains siswa. Hasil tersebut menunjukkan bahwa media berbasis komputer dapat dikembangkan dalam berbagai bentuk media dan memberikan peran dalam meningkatkan literasi sains siswa pada pembelajaran IPA.",multimedia
PENGEMBANGAN MULTIMEDIA INTERAKTIF MATERI FOTOSINTESIS UNTUK SISWA KELAS VIII SEKOLAH MENENGAH PERTAMA,"Multimedia interaktif merupakan media pembelajaran berbasis komputer yang merupakan salah satu implementasi kemajuan teknologi informasi dan komunikasi.multimedia interaktif mata pelajaran IPA materi fotosintesis ini merupakan sarna pembelajaran individual untuk siswa belajar mandiri. Penelitian ini bertujuan untuk mengembangkan multimedia interaktif matapelajaran IPA materi fotosintesis yang layak untuk mempermudah proses belajar siswa. Pada pengembangan ini digunakan model Lee dan Owens (2004). Hasil pengembangan multimedia interaktif ini dikatakan valid dan layak untuk diterapkan dalam proses pembelajaran. Data dikumpulkan dari 1 ahli media dengan presentase 95%, 1 ahli materi sebesar 90% , dan dalam uji coba perseorangan mendapatkan presentase 95%, dari ujicoba kelompok kecil sejumlah 4 siswa 90%, dan ujicoba lapangan sejumlah 23 siswa 90,17%. Dengan demikian, multimedia interaktf yang dikembangkan dalam materi fotosintesis dapat menjadi solusi bagi para siswa untuk mempermudah proses belajar mengajar.",multimedia
Pengembangan Multimedia Interaktif Macromedia Flash Berbasis K-13 Sebagai Inovasi Pembelajaran Tematik Untuk Siswa Sekolah Dasar,"Pada jenjang Sekolah Dasar (SD) saat ini telah menggunakan Kurikulum 2013 (K-13) yang menekankan pada pembelajaran tematik dengan mempelajari berbagai bidang ilmu secara bersamaan dalam satu rangkaian tema. Tetapi permasalahnya adalah belum ada materi pembelajaran yang dikemas dalam bentuk multimedia interaktif yang mampu mengaitkan pembelajaran tematik K-13 di sekolah dasar. Tujuan dari penelitian ini adalah menghasilkan produk multimedia interaktif berbasis K-13 sebagai inovasi pembelajaran tematik di sekolah dasar yang valid. Jenis penelitian ini adalah jenis penelitian dan pengembangan (R&D) dengan mengadaptasi model pengembangan ADDIE. Dikatakan mengadaptasi karena proses penelitian ini berhenti pada tahapan development yaitu dilihat dari segi validitas produk. Teknik pengumpulan data yaitu dengan cara observasi, wawancara, dan angket sedangkan analisis data dalam penelitian ini yaitu diskriptif kualitatif dan kuantitatif. Validitas produk berdasarkan ahli desain grafis mendapatakan skor 87 dengan kriteria valid. Sedangkan menurut ahli materi IPA produk ini mendapatkan skor 86 dengan kriteria valid. untuk ahli MTK mendapatkan skor 86, ahli materi bahasa Indonesia mendapatkan skor 90, dan pada materi PKN mendapatkan skor 89 dengan keterangan valid. Pada penilaian ahli materi PJOK mendapatkan skor 93 dengan kategori sangat valid. Dari segi kebahasaan multimedia ini mendapatkan penilaian sangat valid dan sesuai dengan tingkat perkembangan kognitif anak dengan nilai kevalidan 92. Dengan demikian kesimpulan dari penelitian ini yaitu produk multimedia interaktif berbasis K-13 ini dikatakan valid dan layak digunakan",multimedia
IMPLEMENTASI MULTIMEDIA INTERAKTIF DALAM PEMBELAJARAN EKONOMI DI SEKOLAH,"Mata pelajaran ekonomi merupakan salah satu mata pelajaran yang bertujuan untuk melatih siswa untuk belajar mengenal lingkungan sosial disekitarnya. Sehingga dengan mempelajari mata pelajaran ekonomi diharapkan siswa dapat beradaptasi dalam setiap situasi dan kondisi yang terjadi dilingkungannya. Penerapan pembelajaran ekonomi menekankan pada aspek pengetahuan dan pengalaman yang langsung dirasakan oleh siswa. Dengan demikian, guru diharapkan dapat merancang bahan pembelajaran yang efektif dan kreatif agar siswa dapat memahami konsep-konsep ekonomi secara lebih nyata. Pemanfaatan berbagai sumber media yang salah satunya adalah multimedia interaktif diharapkan mampu meningkatkan kreativitas guru dalam menerapkan proses pembelajaran ekonomi.",multimedia
EFEKTIVITAS DAN UJI KELAYAKAN BAHAN AJAR TENIS LAPANGAN BERBASIS MULTIMEDIA INTERAKTIF,Penelitian ini bertujuan untuk mengetahui efektivitas bahan ajar tenis lapangan berbasis multimedia interaktif untuk  mahasiswa. Penelitian ini merupakan penelitian pengembangan bahan ajar tenis lapangan berbasis multimedia interaktif. Data dikumpulkan dengan penyebaran angket dan kuisioner serta tes selanjutnya dianalisis dengan teknik statistik deskriptif. Hasil penelitian menunjukkan bahwa bahan ajar tenis lapangan berbasis multimedia interaktif efektif meningkatkan hasil belajar dan efisien serta memiliki daya tarik yang signifikan.,multimedia
Aplikasi Virtual tour Berbasis Multimedia Interaktif Menggunakan Autodesk 3Ds Max,"Perkembangan teknologi virtual reality telah tumbuh sangat cepat, berdasarkan perkembangan tersebut maka terbentuk sebuah inovasi baru yaitu virtual tour. Dengan virtual tour kita mampu menjelajahi suatu tempat untuk mendapatkan informasi dan gambaran mengenai tempat tersebut hanya dengan menggunakan komputer dekstop, kios informasi atau media elektronik lainnya, tanpa harus susah payah untuk pergi ke tempat yang sebenarnya. Saat ini sarana informasi mengenai ruangan dan fasilitas yang tersedia pada Univeristas Serang Raya (UNSERA) yang merupakan salah satu kampus yang terdapat di Kota Serang dirasa masih kurang komunikatif karna kurang menggambarkan tempat tersebut. Berdasarkan masalah tersebut dengan membuat aplikasi virtual tour yang dikembangkan menggunakan first person controller diharapkan dapat memberikan informasi mengenai lokasi ruangan dan fasilitas yang terdapat pada Universitas Serang Raya (UNSERA) serta memberikan gambaran yang lebih jelas mengenai tempat tersebut, tanpa harus berjalan menyusuri setiap lantai yang terdapat pada gedung.",multimedia
Peningkatan Kreatifitas Mahasiswa dalam Merancang Media Pembelajaran Multimedia IPA Berbasis Animasi melalui Model Cooperative Learning,"Tujuan penelitian ini adalah untuk mengetahui pelaksanaan pembelajaran komputer menggunakan Cooperative Learning, peningkatan kreativitas pembelajaran komputer menggunakan Cooperative Learning, dan peningkatan hasil pembelajaran komputer menggunakan Cooperative Learning. Penelitian ini merupakan Penelitian Tindakan Kelas dengan subjek penelitian seluruh mahasiswa semester I (satu) Pendidikan Fisika yang mengambil mata kuliah Komputer dalam Pembelajaran Fisika tahun ajaran 2013/2014. Teknik pengumpulan data yang digunakan pada penelitian ini adalah tes hasil belajar, dan lembar observasi untuk mengukur kreativitas mahasiswa. Hasil penelitian menunjukkan: (1) terdapat peningkatan kreativitas belajar mahasiswa dari siklus pertama ke siklus kedua; (2) terdapat peningkatan hasil belajar mahasiswa dari siklus pertama ke siklus kedua.",multimedia
KEAMANAN JARINGAN KOMPUTER PADA ERA BIG DATA,"Pada saat kehidupan lebih nyaman dibandingkan masa lalu, karena dengan adanya perkembangan komputer dengan internetnya yang telah memberikan kontribusi dalam kenyamanan hidup manusia. Namun demikian disadari atau tidak adanya potensi bahaya dibalik kenyamanan penggunaan internet. Di Dunia nyata kita sehari-hari beberapa dari kita tidak tahu akan banyaknya potensi bahaya keamanan dimana komputer terhubung dengan internet hal ini karena kebanyakan menggunakan komputer dalam area yang relative kecil, seperti keluarga, tempat bekerja atau di lingkungan sekolah / kampus. Jika kita menggunakan pada skala besar maka akan muncul beberapa masalah, dalam penelitian ini akan membahas bentuk dan faktor ancaman keamanan komputer, juga beberapa saran untuk meningkatkan pencegahan dari ancaman keamanan komputer. Setelah memahami faktor yang ancaman keamanan komputer, selanjutnya dibahas tindakan pencegahan terhadap ancaman komputer sebagai kontribusi dari perkembangan komputer di masa yang akan datang.",jaringan
DESAIN KEAMANAN JARINGAN PADA MIKROTIK ROUTER OS MENGGUNAKAN METODE PORT KNOCKING,"Keamanan jaringan merupakan salah satu hal terpenting dalam implementasi jaringan komputer.Tidak sedikit jaringan komputer yang mengalami masalah yang disebabkan oleh kelalaian pengelola jaringan dalam membangun sebuah jaringan komputer. Dikarenakan kelalaian tersebut sehingga dapat membuka peluang bagi para hacker untuk meretas dan merusak jaringan yang dibangun tersebut.Untuk meminimalisir terjadinya penyalahgunaan jaringan oleh para hecker, maka perlu adanya peningkatan keamanan jaringan yang akan dibangun. Dalam penelitian ini telah dilakukan penelitian untuk mengembangkan keamanan jaringan komputer dengan cara penggunakan metode Port Knocking. Adapun untuk mempermudah dalam mendesain dan menguji jaringan yang akan dibangun perlu adanya simulator yang digunakan. Dalam penelitian ini menggunakan simulator GNS3 untuk mendesain dan mensimulasikan topologi keamanan jaringan. Berdasarkan peneltian yang telah dilakukan bahwasanya simulator GNS3 dapat dengan mudah deterapkan dalam mendesain topologi jaringnan maupun dalam mensimulasikan pengujian keamanan  jaringan khususnya pada metode keamanan Port Knocking. Berdasarkan hasil penelitian yang telah dilakukan juga didapatkan hasil bahwasanya Metode Port Knocking dapat diterapkan untuk mengamankan Router dari akses orang lain yang tidak berhak mengaksesnya.",jaringan
ANALISIS SISTEM KEAMANAN JARINGAN DENGAN MENGGUNAKAN SWITCH PORT SECURITY,"Perkembangan teknologi dalam jaringan komputer lambat laun semakin pesat seiring dengan meningkatnya kebutuhan akan akses jaringan yang efisien , stabil dan cepat serta kemanan yang handal. Salah satu faktor yang mempengaruhi kualitas dalam jaringan adalah network security atau keamanan jaringan, banyak teknik yang dapat dilakukan dalam meningkatkan keamanan jaringan, baik dengan membangun sistem firewall, dengan menggunakan layer7 protocol maupun dengan port security, port security memanfaatkan port-port yang ada untuk mengizinkan akses ke jaringan, switch port security merupakan suatu kemampuan perangkat switch untuk mengamankan jaringan LAN (Local Area Network) terdapat beberapa jenis switch port security yang digunakan yaitu default/ static port security, port security dynamic learning dan sticky port security, penulis akan melakukan analisis terhadap masing-masing jenis switch port security untuk menentukan kehandalan, kegunaan dan pemanfaatannya dilapangan.",jaringan
Sistem Keamanan Jaringan Komputer dan Data Dengan Menggunakan Metode Port Knocking,"Keamanan data dan informasi membuat teknologi informasi harus diperbaharui setiap saat. Seiring dengan perkembangan teknologi Informasi saat ini yang selalu berubah, menjadikan keamanan suatu informasi sangatlah penting. Banyak serangan yang dilakukanoleh orang-orang yang tidak bertanggung jawab melakukan serangan terhadap server. Seranganserangan tersebut sering dilakukan pada suatu port–port yang dalam keadaan terbuka, sehingga nantinya akan membuat orang–orang yang tidak mempunyai hak akses maupun yang tidak berkepentingan dapat dengan mudah mengendalikan port–port yang telah dimasuki. Maka untuk melakukan keamanan pada jaringan computer dalam mengatasi serangan pada Port-port, salah satunya adalah dengan menggunakan metode Port knoking. Untuk menghindari serangan yang dilakukan dalam keadaan port terbuka maka digunakan suatu metode Port knoking dan mengatur parameter-parameter agar perangkat komputer ini tidak memiliki port komunikasi yang terbuka bebas untuk dimasuki, tetapi perangkat ini masih tetap dapat diakses dari luar. Sehinggaakanmembuat orang yang tidak memiliki hak akses tidak memiliki kesempatan untuk memasuki Port-port yang ada.",jaringan
ANALISIS KEAMANAN JARINGAN SINGLE SIGN ON (SSO) DENGAN LIGHTWEIGHT DIRECTORY ACCESS PROTOCOL (LDAP) MENGGUNAKAN METODE MITMA,"Perkembangan aplikasi web secara tidak langsung menuntut pengguna aplikasi untuk dapat mengelola user dan password sistem aplikasi dengan baik agar tidak disalahgunakan oleh pihak yang tidak bertanggung jawab. Berbagai metode security user account telah disusulkan untuk memecahkan masalahmasalah tersebut. Diantaranya dengan menerapkan Authentication SSO (Single Sign On) dengan menggunakan Protocol LDAP (Lightweight Directory Access Protocol), dan database server MySQL. Dalam penelitian ini meggunakan metode MITMA (Man In The Midle Attack) dan penggunaan tools hacking (Wireshark Versi 1.10.2, Pingflood.exe dan Ping Monitor Free Setup.exe) dalam pengujiannya. Hasil pengujian menunjukkan bahwa informasi IP korban maupun trafiknya dapat diketahui dan diidentifikasi dengan mudah melalui tools hacking dengan akurasi sebesar 85,71%. Penelitian ini tentunya bermanfaat untuk mengetahui tingkat keamnan jaringan yang terintegrasi dengan SSO menggunakan protokol LDAP dan bisa dijadikan acuan untuk menguji model jaringan yang lain.",jaringan
Perancangan Dan Analisis Keamanan Jaringan Nirkabel Menggunakan Wireless Intrusion Detection System,"Sistem keamanan jaringan menjadi hal yang sangat penting dalam menjaga sebuah jaringan, serangan yang bisa mengganggu bahkan merusak sistem koneksi antar perangkat yang terhubung akan sangat merugikan. Untuk mendapatkan keamanan dalam sebuah jaringan terkadang kita harus merasakan ketidak nyamanan dalam penggunaannya, hal inilah yang seringkali menjadi pertimbangan dalam penerapan sebuah sistem keamanan jaringan. Metode WIDS (Wireless Intrusion Detection System) mampu mendeteksi serangan DOS (Denial of Service). Melakukan penerapan pada sistem operasi Linux menggunakan Snort sebagai mesin sensor dan Iptables sebagai penanganan serangan dapat menjadi solusi keamanan jaringan nirkabel dari serangan yang dapat mengancam. Konfigurasi sistem dibangun dalam jaringan WAN (Wide Area Network) yang dirancang untuk merepresentasikan pengujian. Hasil analisis dari setiap pengujian yang dilakukan menyimpulkan bahwa setiap tindakan yang dilakukan oleh penyerang terhadap jaringan dapat diketahui, sehingga dapat dilakukan penanganan sebelum terjadi kerusakan lebih luas.",jaringan
RANCANG BANGUN KEAMANAN JARINGAN WIRELESS PADA STIPER SRIWIGAMA PALEMBANG DENGAN RADIUS SERVER,"Jaringan komputer pada STIPER Sriwigama Palembang hanya memanfaatkan jaringan wireless dengan menempatkan Access Point (AP) pada beberapa titik di lingkungan STIPER Sriwigama Palembang. Untuk saat ini, jaringan wireless pada STIPER Sriwigama Palembang tidak memiliki authentication user atau login untuk user yang diperbolehkan mengakses jaringan wireless pada lingkungan STIPER Sriwigama Palembang. Hal ini menyebabkan semua orang yang berada di lingkungan STIPER Sriwigama Palembang dapat mengakses jaringan wireless-nya, sehingga saat dosen, staf maupun mahasiswa STIPER Sriwigama Palembang merasakan kecepatan jaringan wireless yang lambat dan tidak jarang pula mereka tidak mendapatkan jalur akses jaringan wireless dikarenakan oleh user yang sudah sangat ramai. Oleh karena permalahan ini, pada penelitian saat ini akan dirancang bangun radius server dengan memanfaatkan Mikrotik Router Board sebagai media authentication user. Dengan adanya authentication user, maka login user untuk dapat mengakses jaringan wireless pada STIPER Sriwigama Palembang hanya akan dimiliki oleh dosen, staf ataupun mahasiswa STIPER Sriwigama Palembang saja dan masyarakat umum tidak akan bisa terkoneksi ke jaringan wireless STIPER Sriwigama Palembang lagi.",jaringan
Simulasi Penggunaan Intrusion Detection System (IDS) Sebagai Keamanan Jaringan dan Komputer,"Di era teknologi informasi saat ini, keamanan jaringan komputer merupakan bagian sebuah sistem yang sangat penting untuk menjaga validitas dan integritas data serta menjamin ketersediaan layanan pagi pengguna dari mana dan kapan saja. Dan disatu sisi manusia sudah sangat tergantung dengan sistem informasi. Hal itu menyebabkan statistik insiden keamanan jaringan terus meningkat tajam dari tahun ke tahun. Sehingga diperlukan suatu solusi untuk mengatasi hal ini, salah satunya adalah dengan simulasi. Simulasi dilakukan untuk menirukan sistem keamanan jaringan nyata yang ada dengan sifat yang lebih mudah untuk diamati daripada sistem aslinya, untuk mengetahui performansi sistem. Pada penelitian ini dibutuhkan sistem yang dapat menanggulangi ancaman yang mungkin terjadi secara optimal dalam waktu yang cepat, hal ini akan mempercepat proses penanggulangan gangguan serta pemulihan sistem atau layanan. Salah satu cara yang dapat digunakan untuk menanggulangi atau mengatasi hal tersebut adalah dengan menggunakan Intrusion Detection System (IDS). Salah satu aplikasi yang mendukung intrusion detection system (IDS) adalah Snort. Snort mampu melakukan analisis terhadap bentuk serangan intruder yang menyalahgunakan protokol jaringan.",jaringan
SISTEM KEAMANAN JARINGAN LOCAL AREA NETWORK MENGGUNAKAN TEKNIK DE-MILITARIZED ZONE,"Jaringan komputer Universitas Islam “45” memerlukan keamanan jaringan untuk dapat memperkuat sistem keamanan jaringan pada server dari serangan seperti Port Scanning dan DoS (Denial of Service). Salah satu teknik keamanan jaringan yaitu De-Militarized Zone (DMZ) yang merupakan mekanisme untuk melindungi sistem internal dari serangan hacker atau pihak-pihak lain yang ingin memasuki sistem tanpa mempunyai hak akses. Tujuan Tugas Akhir ini adalah untuk mengimplementasikan sistem keamanan jaringan LAN menggunakan teknik De-Militarized Zone (DMZ). metode dasar adalah dengan menggunakan firewall tunggal yang menjadi penyangga jaringan internal dan external. Hasil penelitian implementasi teknik DMZ pada layanan server jaringan komputer Universitas Islam “45” dapat melakukan filter DoS attack dengan baik, data hasil analisa menunjukan DoS attack dengan jenis ICMP Flooding attack, dan UDP Flooding attack dapat di-block dengan Persentase keberhasilan sebesar 98%.",jaringan
Analisis Perbandingan Sistem Keamanan Jaringan Menggunakan Snort dan Netfilter,"Perkembangan dan pemanfaatan teknologi komputer semakin meningkat berdasarkan kebutuhan dalam pertukaran informasi. Di program studi (Prodi) Teknik Informatika Universitas Tanjungpura (UNTAN) telah mengembangkan teknologi komputer dalam pertukaran informasi seperti pada sistem repositori. Penggunaan teknologi komputer berbasis web pada sistem repositori yang dapat dengan mudah diakses oleh banyak user menimbulkan suatu kerentanan keamanan jaringan pada sistem. Banyaknya user yang dapat mengakses memungkinkan adanya intrusi-intrusi keamanan yang dilakukan oleh sebagian user dalam upaya penyerangan terhadap sistem. Oleh karena itu diperlukan suatu sistem keamanan jaringan sebagai upaya pencegahan serangan pada sistem. Upaya tersebut telah dilakukan melalui penelitian tentang monitoring keamanan jaringan menggunakan snort oleh Asep Fauzi Mutaqin tahun 2015 yang menghasilkan saran untuk dikembangkan dengan menambahkan fungsi Intrusion Prevension System (IPS) pada snort. Penelitian ini mengembangkan sistem keamanan jaringan menggunakan snort mode inline sesuai dengan saran penelitian sebelumnya dan untuk dapat diketahui performa snort mode inline diperlukan analisis perbandingan dengan sistem keamanan jaringan lain. Netfilter dengan menggunakan Advanced Policy Firewall (APF) dan Mod Evasive merupakan sistem keamanan jaringan yang digunakan dalam penelitian ini sebagai upaya mengetahui sistem keamanan jaringan yang sesuai untuk diimplementasikan di Prodi Teknik Informatika. Berdasarkan penelitian analisis perbandingan yang telah dilakukan dapat menghasilkan sebagai berikut : (1) Perangkat keras yang digunakan oleh netfilter yaitu sebuah Server Netfilter sedangkan pada snort menggunakan PC Snort dan Server Snort. (2) Server Snort menggunakan memory sebesar 330668 KiB dan PC Snort menggunakan memory sebesar 175488 KiB sedangkan Server Netfilter menggunakan memory yang lebih besar yaitu 457968 KiB. (3) 2 komponen sistem dan 5 tahap konfigurasi merupakan kebutuhan perangkat lunak pada netfilter sedangkan pada snort membutuhkan 8 komponen sistem dan 10 tahap konfigurasi. (4) Netfilter memiliki hasil keamanan 14,09 % lebih baik dari pada snort.",jaringan
Implementasi Sistem Keamanan Jaringan Menggunakan Firewall Security Port pada Vitaa Multi Oxygen,"Perkembangan teknologi dalam jaringan komputer lambat laun semakin pesat seiring dengan meningkatnya kebutuhan akan akses jaringan yang efisien, stabil serta keamanan yang handal. Perusahaan membutuhkan keamanan jaringan untuk menjaga data perusahaan, serta untuk mengontrol dan mengintegrasikan semua penguna koneksi jaringan. Perusahaan ini dengan banyak karyawan dan divisi yang berbeda-beda sehingga sering dilakukan perpindahan tempat kerja atau adanya karyawan baru. Sehingga sangat diperlukan sistem keamanan jaringan yang terjamin untuk menentukan pengunaan hak akses pada jaringan. Untuk mengatasi masalah tersebut, maka perusahaan sangat membutuhkan adanya pengamanan jaringan pada setiap port lan (local area network) yaitu dengan menggunakan metode default atau static port security, port security dynamic learning dan sticky port security pada port yang berada diruang kerja tersebut. Hal ini berguna untuk memblok akses jaringan pada karyawan yang tidak melaporkan perpindahan tempat kerja dan dapat mencegah terjadinya pencurian data oleh orang asing atau bukan dari karyawan perusahaan tersebut.",jaringan
Analisis dan Implementasi Honeypot Menggunakan Dionaea Sebagai Penunjang Keamanan Jaringan,"Honeypot merupakan salah satu paradigma baru dalam keamanan jaringan yang bertujuan untuk mendeteksi kegiatan yang mencurigakan, membuat jebakan untuk penyerang (attacker) serta mencatat aktivitas yang dilakukan penyerang. Dionaea merupakan salah satu kategori honeypot low interaction sebagai penerus Nephentes. Dionaea membuat emulasi layanan palsu yang akan dijadikan sebagai target utama serangan. Penelitian yang dilakukan dengan membuat simulasi terhadap kinerja sistem. Honeypot dibangun menggunakan sistem operasi pada lingkungan virtual. Pengujian sistem menggunakan teknik penyerangan port scanning dan exploit layanan sistem. Hasil penyerangan akan tersimpan pada log yang terdapat pada honeypot. Dioanea berhasil diterapkan untuk menjebak penyerang dimana data penyerangan yang tercatat pada log berupa exploitasi ke MySQL, Layanan SMB dan Layanan MSRPC.",jaringan
Kajian Vulnerability Keamanan Jaringan Internet Menggunakan Nessus,"Keamanan jaringan komputer merupakan salah satu hal penting dan mendasar dalam pemanfaatan sebuah sistem. vulnerability dalam sebuah sistem jaringan komputer seringkali dikesampingkan, hingga apabila terjadi suatu ancaman /serangan logic maupun physic yang merusak pada sistem tersebut. Salah satu bentuk yang ditempuh diantaranya adalah melakukan sebuah analisis secara periodik, baik itu logic dan physic, sehingga nantinya diharapkan dari analisis tersebut menghasilkan suatu laporan audit yang berisi deteksi dari berbagai macam vulnerability yang ada, untuk kemudian diambil langkah-langkah proteksi yang tepat, yang diperlukan sebagai jaminan keamanan untuk keberlangsungan sistem tersebut. Nessus bekerja dengan memeriksa target yang anda telah anda tentukan, seperti Sekumpulan host atau bisa juga host dalam fokus tersendiri. Begitu aktivitas scan selesai, anda dapat melihat informasi hasilnya baik dalam bentuk grafikal atau baris, Interface (tampilan) grafikal Nessus dibangun dengan menggunakan Gimp Toolkit (gtk). Gtk adalah sebuah library gratis yang banyak digunakan untuk membangun interface grafikal dibawah X.",jaringan
Rancang Bangun Sistem Monitoring Keamanan Jaringan Prodi Teknik Informatika Melalui SMS Alert dengan Snort,"Jaringan internet yang ada pada Prodi (Program Studi) Teknik Informatika sudah dimanajemen dengan baik, namun ada beberapa hal yang belum diperhatikan dan diimplementasikan, yaitu manajemen sistem monitoring keamanan jaringan terhadap gangguan atau serangan secara realtime. Hal ini mengakibatkan sistem jaringan pada prodi teknik informatika rentan dan berbahaya terhadap serangan. Selain itu apabila terjadi serangan pada jaringan prodi teknik informatika, administrator jaringan belum bisa mengetahui dengan pasti apa yang sedang terjadi, sehingga membutuhkan waktu yang cukup lama untuk diatasi. Penelitian ini bertujuan memonitoring keamanan jaringan prodi teknik informatika secara realtime menggunakan snort dan memberikan notifikasi melalui SMS gateway saat mendeteksi adanya intrusi-intrusi jaringan (penyusupan, penyerangan, pemindaian dan beragam bentuk ancaman lainnya yang diatur pada rule-rule di dalam snort) sehingga dapat langsung diatasi. Metode yang digunakan adalah menggunakan Snort. Berdasarkan penelitian yang telah dilakukan, implementasi dan pengujian yang telah dilakukan disimpulkan sebagai berikut: (1) Snort yang diterapkan telah berhasil dibangun dengan baik, yaitu dimana snort dapat bekerja dengan efektif sesuai dengan rules yang dibuat untuk mendeteksi sebuah serangan atau penyusup pada jaringan prodi teknik informatika dan dapat ditampilkan pada BASE, (2) Sistem keamanan yang dibangun adalah mendeteksi serangan-serangan yang masuk pada jaringan dengan melakukan decode oleh snort decoder terhadap sejumlah source dan lalu-lintas yang masuk pada jaringan, sehingga seluruh paket yang masuk kedalam jaringan akan dibandingkan oleh detection engine apakah sesuai dengan rules atau tidak. Apabila sesuai dengan rules maka akan memberikan informasi berupa SMS alert kepada administrator jaringan bahwa telah terjadi serangan, jika tidak sesuai dengan rules maka paket dapat diteruskan masuk kedalam jaringan, (3) Informasi mengenai serangan yang terjadi pada jaringan dapat diketahui oleh administrator secara realtime melalui SMS gateway setiap 1 (satu) menit sekali, (4) Snort yang dibangun telah berhasil mendeteksi pola serangan ping attack (ICMP Traffic), DOS/DDOS attack, port scanning, (5) Jumlah serangan yang terdeteksi oleh snort yaitu pada protokol ICMP berjumlah 567 (0.16%), UDP berjumlah 9.817 (2.81%) dan TCP berjumlah 339.109 (97.03%).",jaringan
